,walk_length,in_giant_component,started_in_2core,distinct_sites,is_retroceding,c
28043,266,True,True,185,False,6
28044,2,True,True,2,True,6
28045,2,True,True,2,True,6
28046,710,True,True,422,False,6
28047,1421,True,True,658,False,6
28048,565,True,True,350,False,6
28049,1276,True,True,615,False,6
28050,112,True,True,80,False,6
28051,1343,True,True,617,False,6
28052,570,True,True,359,False,6
28053,196,True,True,145,False,6
28054,8,True,True,5,False,6
28055,1382,True,True,654,False,6
28056,349,True,True,255,False,6
28057,1923,True,True,733,False,6
28058,2353,True,True,809,False,6
28059,503,True,True,335,False,6
28060,559,True,True,351,False,6
28061,527,True,True,345,False,6
28062,1206,True,True,603,False,6
28063,186,True,True,148,False,6
28064,1173,True,True,564,False,6
28065,260,True,True,181,False,6
28066,1600,True,True,677,False,6
28067,859,True,True,497,False,6
28068,148,True,True,116,False,6
28069,456,True,True,291,False,6
28070,1159,True,True,582,False,6
28071,326,True,True,214,False,6
28072,1233,True,True,585,False,6
28073,2,True,True,2,True,6
28074,2,True,True,2,True,6
28075,658,True,True,426,False,6
28076,566,True,True,369,False,6
28077,5203,True,True,954,False,6
28078,2,True,True,2,True,6
28079,4010,True,True,914,False,6
28080,2436,True,True,832,False,6
28081,4828,True,True,941,False,6
28082,547,True,True,349,False,6
28083,167,True,True,129,False,6
28084,1378,True,True,659,False,6
28085,2,True,True,2,True,6
28086,3080,True,True,878,False,6
28087,152,True,True,119,False,6
28088,953,True,True,521,False,6
28089,1446,True,True,647,False,6
28090,2135,True,True,776,False,6
28091,2,True,True,2,True,6
28092,133,True,True,101,False,6
28093,1354,True,True,628,False,6
28094,1633,True,True,693,False,6
28095,1667,True,True,717,False,6
28096,523,True,True,324,False,6
28097,2706,True,True,845,False,6
28098,3912,True,True,903,False,6
28099,1853,True,True,750,False,6
28100,2,True,True,2,True,6
28101,224,True,True,164,False,6
28102,1669,True,True,724,False,6
28103,2466,True,True,821,False,6
28104,42,True,True,39,False,6
28105,3275,True,True,871,False,6
28106,235,True,True,176,False,6
28107,344,True,True,233,False,6
28108,1884,True,True,739,False,6
28109,297,True,True,216,False,6
28110,4,True,True,3,True,6
28111,519,True,True,343,False,6
28112,636,True,True,397,False,6
28113,6861,True,True,967,False,6
28114,912,True,True,481,False,6
28115,4,True,True,3,True,6
28116,2,True,True,2,True,6
28117,3049,True,True,889,False,6
28118,89,True,True,67,False,6
28119,222,True,True,162,False,6
28120,1028,True,True,543,False,6
28121,254,True,True,184,False,6
28122,2,True,True,2,True,6
28123,393,True,True,279,False,6
28124,964,True,True,529,False,6
28125,5060,True,True,959,False,6
28126,2,True,True,2,True,6
28127,33,True,True,28,False,6
28128,2,True,True,2,True,6
28129,796,True,True,446,False,6
28130,440,True,True,289,False,6
28131,4,True,True,3,True,6
28132,2,True,True,2,True,6
28133,921,True,True,508,False,6
28134,2011,True,True,768,False,6
28135,1177,True,True,590,False,6
28136,4,True,True,3,True,6
28137,555,True,True,357,False,6
28138,2,True,True,2,True,6
28139,3645,True,True,894,False,6
28140,1947,True,True,769,False,6
28141,1075,True,True,547,False,6
28142,1871,True,True,735,False,6
28143,4,True,True,3,True,6
28144,1464,True,True,655,False,6
28145,1724,True,True,702,False,6
28146,2854,True,True,850,False,6
28147,152,True,True,109,False,6
28148,88,True,True,66,False,6
28149,947,True,True,492,False,6
28150,96,True,True,70,False,6
28151,1606,True,True,667,False,6
28152,1941,True,True,765,False,6
28153,2,True,True,2,True,6
28154,346,True,True,242,False,6
28155,2492,True,True,817,False,6
28156,389,True,True,270,False,6
28157,1224,True,True,580,False,6
28158,221,True,True,167,False,6
28159,139,True,True,113,False,6
28160,2,True,True,2,True,6
28161,2,True,True,2,True,6
28162,2,True,True,2,True,6
28163,2,True,True,2,True,6
28164,1373,True,True,624,False,6
28165,2033,True,True,758,False,6
28166,2,True,True,2,True,6
28167,113,True,True,93,False,6
28168,1011,True,True,515,False,6
28169,40,True,True,30,False,6
28170,917,True,True,497,False,6
28171,2,True,True,2,True,6
28172,898,True,True,503,False,6
28173,68,True,True,59,False,6
28174,909,True,True,481,False,6
28175,1453,True,True,662,False,6
28176,2050,True,True,782,False,6
28177,4187,True,True,923,False,6
28178,428,True,True,278,False,6
28179,172,True,True,125,False,6
28180,2,True,True,2,True,6
28181,2,True,True,2,True,6
28182,527,True,True,345,False,6
28183,1541,True,True,645,False,6
28184,952,True,True,487,False,6
28185,1049,True,True,561,False,6
28186,2,True,True,2,True,6
28187,1379,True,True,639,False,6
28188,157,True,True,115,False,6
28189,1133,True,True,579,False,6
28190,574,True,True,385,False,6
28191,2,True,True,2,True,6
28192,545,True,True,342,False,6
28193,2032,True,True,753,False,6
28194,259,True,True,191,False,6
28195,266,True,True,181,False,6
28196,35,True,True,26,False,6
28197,726,True,True,427,False,6
28198,1298,True,True,589,False,6
28199,973,True,True,549,False,6
28200,2,True,True,2,True,6
28201,149,True,True,118,False,6
28202,1713,True,True,707,False,6
28203,208,True,True,159,False,6
28204,2,True,True,2,True,6
28205,1270,True,True,622,False,6
28206,2338,True,True,800,False,6
28207,678,True,True,385,False,6
28208,1955,True,True,756,False,6
28209,8209,True,True,984,False,6
28210,101,True,True,74,False,6
28211,2,True,True,2,True,6
28212,360,True,True,233,False,6
28213,2,True,True,2,True,6
28214,2,True,True,2,True,6
